batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
A Raghuvanshi,Rasikh Salam,13,5,0,260.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Ravi Bishnoi,14,13,0,107.69,0.0,Right-hand,Right-arm legbreak
A Raghuvanshi,SN Thakur,6,4,0,150.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Sandeep Sharma,3,3,0,100.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Simarjeet Singh,13,5,0,260.0,0.0,Right-hand,Right-arm fast
A Raghuvanshi,Sumit Kumar,16,8,0,200.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Suyash Sharma,10,4,0,250.0,0.0,Right-hand,Right-arm legbreak
A Raghuvanshi,TA Boult,17,9,0,188.89,0.0,Right-hand,Left-arm fast-medium
A Raghuvanshi,TU Deshpande,2,4,0,50.0,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,V Nigam,23,12,0,191.67,0.0,Right-hand,Right-arm legbreak
A Raghuvanshi,XC Bartlett,18,7,0,257.14,0.0,Right-hand,Right-arm fast-medium
A Raghuvanshi,YS Chahal,14,11,1,127.27,9.09,Right-hand,Right-arm legbreak
A Raghuvanshi,Yash Dayal,4,5,2,80.0,40.0,Right-hand,Left-arm fast-medium
A Raghuvanshi,Yash Thakur,8,6,0,133.33,0.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Yudhvir Singh,0,1,1,0.0,100.0,Right-hand,Right-arm medium-fast
A Raghuvanshi,Zeeshan Ansari,16,10,0,160.0,0.0,Right-hand,Left-arm orthodox
A Tomar,JO Holder,4,6,0,66.67,0.0,Right-hand,Right-arm fast-medium
A Tomar,Mohsin Khan,0,2,1,0.0,50.0,Right-hand,Left-arm fast-medium
A Zampa,GJ Maxwell,1,2,0,50.0,0.0,Right-hand,Right-arm offbreak
A Zampa,KV Sharma,0,1,1,0.0,100.0,Right-hand,Right-arm legbreak
A Zampa,MG Bracewell,1,3,0,33.33,0.0,Right-hand,Right-arm offbreak
A Zampa,MM Sharma,3,3,1,100.0,33.33,Right-hand,Right-arm medium-fast
A Zampa,Mohammed Shami,1,1,0,100.0,0.0,Right-hand,Right-arm fast
A Zampa,Noor Ahmad,1,3,0,33.33,0.0,Right-hand,Left-arm wrist-spin
A Zampa,Rashid Khan,2,3,0,66.67,0.0,Right-hand,Right-arm legbreak
A Zampa,TU Deshpande,1,1,1,100.0,100.0,Right-hand,Right-arm medium-fast
AA Kulkarni,MA Starc,4,4,1,100.0,25.0,Right-hand,Left-arm fast
AA Kulkarni,N Thushara,0,1,1,0.0,100.0,Right-hand,Right-arm fast
AA Kulkarni,VG Arora,5,3,0,166.67,0.0,Right-hand,Right-arm medium-fast
AB de Villiers,A Mishra,3,4,0,75.0,0.0,Right-hand,Right-arm offbreak
AB de Villiers,A Nortje,2,2,0,100.0,0.0,Right-hand,Right-arm fast
AB de Villiers,AD Russell,36,15,1,240.0,6.67,Right-hand,Right-arm fast
AB de Villiers,AR Patel,19,17,1,111.76,5.88,Right-hand,Left-arm orthodox
AB de Villiers,Arshdeep Singh,6,2,1,300.0,50.0,Right-hand,Left-arm medium-fast
AB de Villiers,Avesh Khan,9,12,0,75.0,0.0,Right-hand,Right-arm fast
AB de Villiers,B Kumar,7,4,0,175.0,0.0,Right-hand,Right-arm medium
AB de Villiers,CV Varun,16,11,0,145.45,0.0,Right-hand,Right-arm legbreak
AB de Villiers,DJ Bravo,2,2,0,100.0,0.0,Right-hand,Right-arm medium-fast
AB de Villiers,Harbhajan Singh,7,2,0,350.0,0.0,Right-hand,Right-arm offbreak
AB de Villiers,Harpreet Brar,1,6,1,16.67,16.67,Right-hand,Left-arm orthodox
AB de Villiers,I Sharma,2,3,0,66.67,0.0,Right-hand,Right-arm fast
AB de Villiers,Imran Tahir,3,5,0,60.0,0.0,Right-hand,Right-arm legbreak
AB de Villiers,JJ Bumrah,26,16,1,162.5,6.25,Right-hand,Right-arm fast
AB de Villiers,JO Holder,0,4,0,0.0,0.0,Right-hand,Right-arm fast-medium
AB de Villiers,JR Hazlewood,2,2,0,100.0,0.0,Right-hand,Right-arm fast-medium
AB de Villiers,K Rabada,29,15,0,193.33,0.0,Right-hand,Right-arm fast
AB de Villiers,M Jansen,3,5,1,60.0,20.0,Right-hand,Left-arm fast-medium
AB de Villiers,M Prasidh Krishna,15,7,0,214.29,0.0,Right-hand,Right-arm fast
AB de Villiers,MC Henriques,4,8,0,50.0,0.0,Right-hand,Right-arm fast-medium
AB de Villiers,MP Stoinis,22,7,0,314.29,0.0,Right-hand,Right-arm medium
AB de Villiers,Mohammed Shami,11,3,0,366.67,0.0,Right-hand,Right-arm fast
AB de Villiers,PJ Cummins,6,6,0,100.0,0.0,Right-hand,Right-arm fast
AB de Villiers,R Ashwin,10,5,0,200.0,0.0,Right-hand,Right-arm offbreak
AB de Villiers,R Parag,4,1,0,400.0,0.0,Right-hand,Right-arm offbreak
AB de Villiers,RA Jadeja,1,4,1,25.0,25.0,Right-hand,Left-arm orthodox
AB de Villiers,RD Chahar,16,8,0,200.0,0.0,Right-hand,Right-arm legbreak
AB de Villiers,RV Patel,5,4,0,125.0,0.0,Right-hand,Right-arm offbreak
AB de Villiers,Rashid Khan,8,6,1,133.33,16.67,Right-hand,Right-arm legbreak
AB de Villiers,Ravi Bishnoi,4,8,0,50.0,0.0,Right-hand,Right-arm legbreak
AB de Villiers,S Kaul,4,3,0,133.33,0.0,Right-hand,Right-arm medium-fast
AB de Villiers,SN Thakur,8,7,1,114.29,14.29,Right-hand,Right-arm medium-fast
AB de Villiers,SP Narine,7,5,1,140.0,20.0,Right-hand,Right-arm offbreak
AB de Villiers,TA Boult,14,5,0,280.0,0.0,Right-hand,Left-arm fast-medium
AB de Villiers,Umran Malik,1,1,0,100.0,0.0,Right-hand,Right-arm fast
AD Russell,A Nortje,10,13,0,76.92,0.0,Right-hand,Right-arm fast
AD Russell,AK Markram,7,4,0,175.0,0.0,Right-hand,Right-arm offbreak
AD Russell,AR Patel,2,4,0,50.0,0.0,Right-hand,Left-arm orthodox
AD Russell,AS Joseph,7,3,1,233.33,33.33,Right-hand,Right-arm fast
AD Russell,Akash Deep,7,3,0,233.33,0.0,Right-hand,Right-arm medium-fast
AD Russell,Akash Madhwal,15,9,0,166.67,0.0,Right-hand,Right-arm medium-fast
AD Russell,Arshdeep Singh,30,17,2,176.47,11.76,Right-hand,Left-arm medium-fast
AD Russell,Ashwani Kumar,4,6,1,66.67,16.67,Right-hand,Right-arm medium
AD Russell,Avesh Khan,22,16,2,137.5,12.5,Right-hand,Right-arm fast
AD Russell,B Kumar,62,28,0,221.43,0.0,Right-hand,Right-arm medium
AD Russell,C Green,5,4,0,125.0,0.0,Right-hand,Right-arm medium-fast
