batsman,bowler,total_runs,total_balls,dismissals,strike_rate,dismissal_rate,batting_hand,bowling_style
KL Rahul,N Thushara,24,20,0,120.0,0.0,Right-hand,Right-arm fast
KL Rahul,Noor Ahmad,42,28,0,150.0,0.0,Right-hand,Left-arm wrist-spin
KL Rahul,R Ashwin,57,50,0,114.0,0.0,Right-hand,Right-arm offbreak
KL Rahul,RA Jadeja,33,20,0,165.0,0.0,Right-hand,Left-arm orthodox
KL Rahul,RD Chahar,21,24,0,87.5,0.0,Right-hand,Right-arm legbreak
KL Rahul,Rashid Khan,41,31,0,132.26,0.0,Right-hand,Right-arm legbreak
KL Rahul,SN Thakur,49,26,1,188.46,3.85,Right-hand,Right-arm medium-fast
KL Rahul,SP Narine,32,42,0,76.19,0.0,Right-hand,Right-arm offbreak
KL Rahul,Sandeep Sharma,39,42,1,92.86,2.38,Right-hand,Right-arm medium-fast
KL Rahul,Shahbaz Ahmed,41,42,1,97.62,2.38,Right-hand,Left-arm orthodox
KL Rahul,Shivam Mavi,14,22,0,63.64,0.0,Right-hand,Right-arm fast
KL Rahul,Suyash Sharma,16,26,0,61.54,0.0,Right-hand,Right-arm legbreak
KL Rahul,TA Boult,48,43,2,111.63,4.65,Right-hand,Left-arm fast-medium
KL Rahul,TG Southee,44,21,0,209.52,0.0,Right-hand,Right-arm fast-medium
KL Rahul,TU Deshpande,26,21,0,123.81,0.0,Right-hand,Right-arm medium-fast
KL Rahul,YS Chahal,59,38,0,155.26,0.0,Right-hand,Right-arm legbreak
KL Rahul,Yash Dayal,47,27,0,174.07,0.0,Right-hand,Left-arm fast-medium
KR Mayers,DL Chahar,34,22,0,154.55,0.0,Left-hand,Right-arm medium
